Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size						epoch	train mAP	test mAP
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
13_()	14.1G	0.9626	0.708	1.106	123	320:00:00	100% 63/63	[01:	"39<00:00,  1.57s/it]"			13_()	0.88	0.881
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:05<00:00,"	2.06s/it]				
	all	5292	10764	0.83	0.809	0.88	0.695							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:12<00:00,"	1.80s/it]				
	all	1086	2161	0.836	0.798	0.881	0.711							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
14_()	14.1G	0.9551	0.6996	1.11	102	320:00:00	100% 63/63	[01:	"39<00:00,  1.58s/it]"			14_()	0.969	0.959
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:03<00:00,"	1.97s/it]				
	all	5292	10764	0.921	0.917	0.969	0.779							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:14<00:00,"	2.07s/it]				
	all	1086	2161	0.915	0.895	0.959	0.789							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
15_()	14.1G	0.9497	0.6898	1.103	89	320:00:00	100% 63/63	[01:	"38<00:00,  1.56s/it]"			15_()	0.976	0.964
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:06<00:00,"	2.08s/it]				
	all	5292	10764	0.941	0.929	0.976	0.787							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:13<00:00,"	1.93s/it]				
	all	1086	2161	0.928	0.907	0.964	0.791							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
16_()	14.1G	0.937	0.6715	1.097	126	320:00:00	100% 63/63	[01:	"35<00:00,  1.51s/it]"			16_()	0.961	0.95
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:09<00:00,"	2.18s/it]				
	all	5292	10764	0.913	0.893	0.961	0.767							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:12<00:00,"	1.81s/it]				
	all	1086	2161	0.894	0.883	0.95	0.772							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
17_()	14.1G	0.9373	0.6673	1.089	102	320:00:00	100% 63/63	[01:	"35<00:00,  1.52s/it]"			17_()	0.963	0.957
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:06<00:00,"	2.07s/it]				
	all	5292	10764	0.931	0.916	0.963	0.777							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:14<00:00,"	2.04s/it]				
	all	1086	2161	0.917	0.918	0.957	0.784							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
18_()	14.1G	0.9256	0.659	1.091	88	320:00:00	100% 63/63	[01:	"36<00:00,  1.54s/it]"			18_()	0.971	0.952
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:09<00:00,"	2.17s/it]				
	all	5292	10764	0.934	0.909	0.971	0.776							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:12<00:00,"	1.75s/it]				
	all	1086	2161	0.924	0.87	0.952	0.768							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
19_()	14.1G	0.922	0.6594	1.087	119	320:00:00	100% 63/63	[01:	"39<00:00,  1.58s/it]"			19_()	0.977	0.959
results_train														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"32/32 [01:07<00:00,"	2.11s/it]				
	all	5292	10764	0.936	0.937	0.977	0.8							
results_val														
	Class	Images	Instances	P	R	mAP50	mAP50-95:	100%	"7/7 [00:12<00:00,"	1.78s/it]				
	all	1086	2161	0.915	0.905	0.959	0.796							
														
Epoch	GPU_mem	box_loss	cls_loss	dfl_loss	Instances	Size								
