filename,density_count,mean_iou
3_023070.txt,5,0.10766123933197864
2_044760.txt,1,0.0
3_059010.txt,1,0.0
3_019410.txt,1,0.0
3_115890.txt,1,0.0
1_055950.txt,1,0.0
4_087300.txt,1,0.0
5_119790.txt,4,0.07444004293653
4_011850.txt,1,0.0
1_087060.txt,2,0.0
3_031020.txt,1,0.0
2_118110.txt,1,0.0
3_036420.txt,1,0.0
4_011820.txt,1,0.0
3_049500.txt,2,0.0
4_040950.txt,1,0.0
3_131760.txt,2,0.0
1_032340.txt,1,0.0
2_152670.txt,1,0.0
1_086520.txt,1,0.0
2_003460.txt,1,0.0
3_119550.txt,2,0.06549200325291427
2_002670.txt,7,0.02228635624286864
3_129930.txt,1,0.0
4_092070.txt,3,0.0
5_094530.txt,3,0.0655044902271526
2_112320.txt,1,0.0
3_046350.txt,1,0.0
3_076260.txt,1,0.0
3_068880.txt,1,0.0
4_051780.txt,7,0.04811578163843673
3_101490.txt,7,0.02964187380573067
3_092310.txt,4,0.1007307549319955
3_045900.txt,1,0.0
5_154950.txt,1,0.0
5_013860.txt,2,0.4909819639278556
5_163110.txt,2,0.10575793184488837
3_045990.txt,2,0.0038224154860429776
4_013410.txt,1,0.0
5_062130.txt,1,0.0
2_096780.txt,3,0.020627590444362985
2_061230.txt,2,0.0
3_083490.txt,1,0.0
2_011280.txt,1,0.0
2_065130.txt,1,0.0
2_041130.txt,1,0.0
3_079260.txt,1,0.0
5_021990.txt,9,0.040673651681940225
2_027540.txt,8,0.039725989505759805
1_057120.txt,1,0.0
2_012540.txt,6,0.05859013840990722
5_169980.txt,1,0.0
1_086070.txt,2,0.08053011826423077
4_044160.txt,5,0.0400984652334939
3_136050.txt,1,0.0
2_084000.txt,1,0.0
2_094530.txt,1,0.0
5_102960.txt,3,0.04151152817718585
2_025260.txt,3,0.09948906840658306
4_031830.txt,2,0.0
4_044220.txt,5,0.03301554053900128
2_038760.txt,1,0.0
2_111780.txt,1,0.0
2_146790.txt,1,0.0
3_085950.txt,2,0.13884574331224547
5_060660.txt,2,0.1498977969566205
2_048570.txt,1,0.0
2_052050.txt,2,0.0
4_075090.txt,2,0.0
3_064648.txt,2,0.0
1_067740.txt,1,0.0
5_026460.txt,2,0.0
3_044130.txt,1,0.0
4_001200.txt,1,0.0
3_119580.txt,2,0.03651377022576487
2_148200.txt,5,0.05832962263311921
3_081720.txt,6,0.033387204424858624
3_024240.txt,2,0.2361855670103094
2_114960.txt,1,0.0
3_098970.txt,1,0.0
5_132840.txt,1,0.0
5_030540.txt,1,0.0
5_034230.txt,1,0.0
1_020940.txt,1,0.0
4_029040.txt,2,0.05291402192729379
2_015360.txt,1,0.0
3_116940.txt,2,0.0
5_132450.txt,1,0.0
4_083160.txt,1,0.0
4_029160.txt,3,0.1359434411950655
3_119640.txt,2,0.02541903490352331
4_065910.txt,1,0.0
4_076500.txt,2,0.08038509705698181
3_039840.txt,1,0.0
5_115530.txt,1,0.0
3_081900.txt,2,0.0
4_076620.txt,3,0.0025079717674035417
3_119700.txt,2,0.14611872146118737
2_115080.txt,1,0.0
2_095700.txt,12,0.025260778539066213
5_086070.txt,2,0.06847935548841891
4_051600.txt,1,0.0
2_012660.txt,9,0.034955211475011
3_116910.txt,2,0.026899798251513014
3_079290.txt,1,0.0
2_028410.txt,6,0.030865408414938168
3_086100.txt,2,0.049230294378641126
2_131490.txt,1,0.0
2_154080.txt,7,0.039227893777071504
2_154680.txt,3,0.01381948300326978
3_007350.txt,3,0.05595980595980595
2_139920.txt,1,0.0
2_005940.txt,1,0.0
3_099210.txt,1,0.0
2_046350.txt,1,0.0
5_082560.txt,5,0.028982815753067975
3_118290.txt,6,0.023493427425618198
5_111870.txt,1,0.0
3_121050.txt,1,0.0
1_085800.txt,1,0.0
5_160980.txt,6,0.03369495895346077
3_085230.txt,2,0.411297572670063
2_114840.txt,1,0.0
4_014040.txt,1,0.0
2_012480.txt,2,0.24992248062015499
4_031920.txt,1,0.0
4_056220.txt,1,0.0
3_098070.txt,4,0.04564214615197861
4_014790.txt,2,0.0
2_131850.txt,1,0.0
2_130980.txt,3,0.03593519882179676
2_070470.txt,1,0.0
4_078450.txt,1,0.0
1_085860.txt,1,0.0
2_088860.txt,1,0.0
4_026520.txt,1,0.0
5_010710.txt,1,0.0
3_046140.txt,2,0.14230164639695536
2_025080.txt,1,0.0
5_037560.txt,1,0.0
3_058830.txt,2,0.0
5_089130.txt,1,0.0
2_135300.txt,2,0.14913069544364518
4_001020.txt,2,0.045026839280075795
2_019860.txt,8,0.03550767332580185
5_067860.txt,3,0.05262526099982018
5_075300.txt,1,0.0
4_023700.txt,1,0.0
5_102870.txt,2,0.15497439016703624
1_033840.txt,3,0.05103487624444741
3_067500.txt,2,0.0
5_032490.txt,1,0.0
3_033090.txt,4,0.09180103011448489
5_132780.txt,1,0.0
5_023610.txt,1,0.0
4_084480.txt,4,0.09116079169152409
2_002160.txt,10,0.06853138320560319
3_118350.txt,7,0.02260108379298085
3_049560.txt,2,0.0
3_090780.txt,3,0.0
4_084780.txt,5,0.02000090745810533
3_049260.txt,4,0.06020965370631489
3_126900.txt,3,0.05490178583793753
2_070770.txt,4,0.0816013268014889
2_117930.txt,2,0.20908769921557982
5_034140.txt,1,0.0
3_077670.txt,1,0.0
3_039750.txt,2,0.01175482787573464
1_080160.txt,1,0.0
2_088920.txt,1,0.0
3_072540.txt,1,0.0
2_056160.txt,1,0.0
3_053790.txt,1,0.0
3_023100.txt,5,0.08679192095041012
3_041700.txt,6,0.02407674908439672
5_179430.txt,1,0.0
3_097590.txt,2,0.0
4_058560.txt,1,0.0
4_080790.txt,1,0.0
5_083430.txt,1,0.0
5_143610.txt,2,0.0
5_131280.txt,1,0.0
2_034740.txt,8,0.010456059313647454
1_025320.txt,2,0.18237235601690904
5_135840.txt,2,0.09134353384153057
5_115110.txt,1,0.0
2_096300.txt,3,0.06408838091723727
3_117630.txt,2,0.041919932928107265
2_000300.txt,1,0.0
5_102120.txt,1,0.0
1_082800.txt,1,0.0
2_076290.txt,8,0.05458819585792823
5_020100.txt,1,0.0
5_153630.txt,1,0.0
3_041340.txt,8,0.039805391237654066
4_022170.txt,1,0.0
4_087060.txt,1,0.0
4_002730.txt,4,0.09845680525057744
3_127800.txt,1,0.0
2_085470.txt,3,0.0
4_039720.txt,2,0.04748849505532149
5_056100.txt,2,0.0
3_085350.txt,2,0.3770719602977669
3_091650.txt,6,0.04048283743133383
5_033660.txt,1,0.0
3_024420.txt,3,0.026000893698965532
3_121410.txt,1,0.0
2_066780.txt,2,0.0
3_085050.txt,3,0.15106261955783282
5_153690.txt,2,0.0
4_033840.txt,1,0.0
5_009570.txt,1,0.0
3_003330.txt,3,0.03413746017296312
2_148800.txt,3,0.002802436611487617
3_067530.txt,2,0.0
5_079620.txt,1,0.0
4_079680.txt,1,0.0
4_044130.txt,5,0.03783859198012039
2_063540.txt,1,0.0
2_064020.txt,1,0.0
4_002430.txt,4,0.008705261533552113
5_126960.txt,1,0.0
4_060360.txt,7,0.048148942486239396
5_032340.txt,1,0.0
5_118530.txt,1,0.0
5_169380.txt,3,0.06223482427776392
4_028440.txt,1,0.0
4_077670.txt,1,0.0
